season,vote,castaway,acknowledge,ack_gesture,ack_speak,ack_look,ack_smile,ack_speak_notes,notes,url,log,episode,voted_out,voted_out_id,_merge,match,ack_score
1,1,Sonja,True,True,True,True,True,"""Go get 'em you guys.""",,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,1,Sonja,US0001,both,True,4
1,2,B.B.,False,False,False,False,False,,"He said ""alright"" but to Jeff not to tribe. ",https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,2,B.B.,US0002,both,True,0
1,3,Stacey,False,False,False,False,False,,"Also said ""alright"" when told ""time for you to go""",https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,3,Stacey,US0003,both,True,0
1,4,Ramona,False,False,False,False,False,,Went back for her bag ,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,4,Ramona,US0004,both,True,0
1,5,Dirk,True,True,True,True,True,"""Good luck""",,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,5,Dirk,US0005,both,True,4
1,6,Joel,True,True,True,True,False,"""Goodbye""",,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,6,Joel,US0006,both,True,3
1,7,Gretchen,True,True,False,True,True,,Gave thumbs up sign and wave,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,7,Gretchen,US0007,both,True,3
1,8,Greg,True,False,True,True,False,,Fake crying ,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,8,Greg,US0008,both,True,2
1,9,Jenna,False,False,False,False,False,,,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,9,Jenna,US0009,both,True,0
1,10,Gervase,False,False,False,False,False,,,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,10,Gervase,US0010,both,True,0
1,11,Colleen,True,True,False,True,True,,Slight smile and small wave,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,11,Colleen,US0011,both,True,3
1,12,Sean,True,False,True,True,False,"""See you in a few days."" ",,https://www.youtube.com/watch?v=E7RgeqA1HKc,6/7/2024,12,Sean,US0012,both,True,2
