season,episode,voted_out,vote
26,2,Allie,2
26,3,Hope,3
26,4,Laura,4
26,5,Brandon,5
26,6,Matt,6
26,7,Julia,7
26,8,Corinne,8
26,9,Michael,9
26,10,Phillip,10
26,11,Malcolm,11
26,12,Reynold,12
26,12,Andrea,13
26,13,Brenda,14
26,14,Eddie,15
27,1,Laura B.,1
27,1,Candice,2
27,1,Marissa,3
27,2,Rachel,4
27,3,John,5
27,4,Brad,6
27,5,Laura M.,7
27,6,Kat,8
27,7,Laura B.,9
27,8,Aras,10
27,9,Vytas,11
27,9,Tina,12
27,10,Laura M.,13
27,11,Caleb,14
27,12,Katie,15
27,13,Hayden,16
27,14,Ciera,17
27,14,Tina,18
28,1,David,1
28,1,Garrett,2
28,2,Brice,3
28,3,J'Tia,4
28,4,Cliff,5
28,5,Alexis,6
28,6,Sarah,7
28,7,Morgan,8
28,8,LJ,9
28,9,Jeremiah,10
28,10,Jefra,11
28,11,Tasha,12
28,12,Trish,13
28,13,Spencer,14
28,13,Kass,15
29,1,Nadiya,1
29,2,Val,2
29,3,John,3
29,4,Drew,4
29,5,Kelley,5
29,6,Dale,6
29,8,Josh,7
29,9,Jeremy,8
29,10,Wes,9
29,11,Reed,10
29,12,Alec,11
29,13,Jon,12
29,14,Baylor,13
29,14,Keith,14
30,1,So,1
30,2,Vince,2
30,3,Nina,3
30,4,Lindsey,4
30,5,Max,5
30,6,Joaquin,6
30,7,Kelly,7
30,8,Hali,8
30,9,Joe,9
30,10,Jenn,10
30,11,Shirin,11
30,12,Tyler,12
30,13,Dan,13
30,14,Sierra,14
30,14,Rodney,15
31,1,Vytas,1
31,2,Shirin,2
31,3,Peih-Gee,3
31,4,Jeff,4
31,5,Monica,5
31,6,Woo,6
31,7,Kass,7
31,8,Andrew,8
31,9,Kelly,9
31,10,Ciera,10
31,11,Stephen,11
31,12,Joe,12
31,13,Abi-Maria,13
31,14,Kimmi,14
31,14,Keith,15
31,14,Kelley,16
32,1,Darnell,1
32,2,Jennifer,2
32,3,Liz,3
32,4,Alecia,4
32,5,Anna,5
32,6,Peter,6
32,8,Nick,7
32,9,Debbie,8
32,10,Scot,9
32,11,Julia,10
32,12,Jason,11
32,14,Cydney,12
33,1,Rachel,1
33,2,Mari,2
33,3,Paul,3
33,4,Lucy,4
33,5,CeCe,5
33,6,Figgy,6
33,7,Michaela,7
33,8,Michelle,8
33,9,Taylor,9
33,10,Chris,10
33,10,Jessica,11
33,11,Zeke,12
33,12,Will,13
33,12,Sunday,14
33,13,Jay,15
33,13,Bret,16
33,13,David,17
34,1,Ciera,1
34,1,Tony,2
34,2,Caleb,3
34,3,Malcolm,4
34,4,J.T.,5
34,5,Sandra,6
34,6,Jeff,7
34,7,Hali,8
34,7,Ozzy,9
34,8,Debbie,10
34,9,Zeke,11
34,10,Sierra,12
34,11,Andrea,13
34,11,Michaela,14
34,12,Cirie,15
34,12,Aubry,16
34,12,Tai,17
35,1,Katrina,1
35,2,Simone,2
35,3,Patrick,3
35,4,Alan,4
35,5,Roark,5
35,6,Ali,6
35,7,Jessica,7
35,8,Desi,8
35,9,Cole,9
35,10,JP,10
35,10,Joe,11
35,11,Lauren,12
35,12,Ashley,13
35,13,Mike,14
35,13,Devon,15
36,1,Gonzalez,1
36,1,Jacob,2
36,2,Morgan,3
36,3,Brendan,4
36,4,Stephanie,5
36,5,James,6
36,6,Bradley,7
36,7,Chris,8
36,8,Libby,9
36,9,Desiree,10
36,10,Jenna,11
36,10,Michael,12
36,11,Chelsea,13
36,12,Kellyn,14
36,13,Sebastian,15
36,13,Donathan,16
36,13,Angela,17
37,2,Jessica,1
37,3,Jeremy,2
37,4,Natalia,3
37,5,Natalie,4
37,6,Lyrsa,5
37,7,Elizabeth,6
37,8,John,7
37,9,Dan,8
37,10,Alec,9
37,10,Carl,10
37,11,Gabby,11
37,12,Christian,12
37,13,Davie,13
37,13,Alison,14
37,13,Kara,15
38,1,Reem,1
38,2,Keith,2
38,3,Chris,3
38,4,Rick,4
38,5,Aubry,5
38,5,Wendy,6
38,6,Joe,7
38,7,Eric,8
38,8,Julia,9
38,9,David,10
38,9,Kelley,11
38,10,Wardog,12
38,11,Ron,13
38,12,Aurora,14
38,13,Victoria,15
38,13,Lauren,16
38,13,Rick,17
39,1,Ronnie,1
39,2,Molly,2
39,3,Vince,3
39,4,Chelsea,4
39,5,Tom,5
39,6,Jason,6
39,7,Jack,7
39,8,Kellee,8
39,8,Jamal,9
39,9,Aaron,10
39,9,Missy,11
39,10,Elizabeth,12
39,11,Karishma,13
39,12,Elaine,14
39,13,Janet,15
39,13,Lauren,16
40,1,Natalie,1
40,1,Amber,2
40,2,Danni,3
40,3,Ethan,4
40,4,Tyson,5
40,5,Boston Rob,6
40,6,Parvati,7
40,6,Sandra,8
40,7,Yul,9
40,8,Wendell,10
40,9,Adam,11
40,10,Tyson,12
40,11,Sophie,13
40,12,Kim,14
40,13,Jeremy,15
40,13,Nick,16
40,14,Denise,17
40,14,Ben,18
40,14,Sarah,19
41,1,Abraham,1
41,1,Sara,2
41,2,Voce,3
41,3,Brad,4
41,4,JD,5
41,5,Genie,6
41,7,Sydney,7
41,8,Tiffany,8
41,9,Naseer,9
41,9,Evvie,10
41,10,Shan,11
41,11,Liana,12
41,12,Danny,13
41,13,Ricard,14
41,13,Heather,15
42,1,Zach,1
42,2,Marya,2
42,3,Jenny,3
42,4,Swati,4
42,5,Daniel,5
42,7,Lydia,6
42,8,Chanelle,7
42,9,Rocksroy,8
42,9,Tori,9
42,10,Hai,10
42,11,Drea,11
42,12,Omar,12
42,13,Lindsay,13
42,13,Jonathan,14
43,1,Morriah,1
43,2,Justine,2
43,3,Nneka,3
43,4,Lindsay,4
43,5,Geo,5
43,6,Elie,6
43,7,Dwight,7
43,8,Jeanine,8
43,9,James,9
43,9,Ryan,10
43,10,Noelle,11
43,11,Sami,12
43,12,Cody,13
43,13,Karla,14
43,13,Jesse,15
44,1,Maddy,1
44,2,Helen,2
44,3,Claire,3
44,4,Sarah,4
44,6,Josh,5
44,7,Matt,6
44,8,Brandon,7
44,9,Kane,8
44,10,Frannie,9
44,11,Danny,10
44,12,Jaime,11
44,13,Lauren,12
44,13,Carson,13
45,1,Hannah,1
45,2,Brandon,2
45,3,Sabiyah,3
45,4,Sean,4
45,5,Brando,5
45,6,J. Maya,6
45,7,Sifu,7
45,7,Kaleb,8
45,8,Kellie,9
45,9,Kendra,10
45,10,Bruce,11
45,11,Emily,12
45,12,Drew,13
45,13,Julie,14
45,13,Katurah,15
46,1,Jelinsky,1
46,2,Jess,2
46,4,Bhanu,3
46,5,Jem,4
46,6,Moriah,5
46,7,Tim,6
46,7,Soda,7
46,8,Hunter,8
46,9,Hunter,9
46,10,Tiffany,10
46,11,Venus,11
46,12,Q,12
46,13,Maria,13
46,13,Liz,14
