,season_name,season,location,country,filming_started,filming_ended,latitude,longitude
27,Survivor: Cagayan,28,"Palaui Island, Santa Ana, Cagayan, Philippines",Philippines,2013-07-11,2013-08-18,18.5604256,122.1405413
28,Survivor: San Juan del Sur,29,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,2014-06-02,2014-07-10,11.263406,-85.8639766
29,Survivor: Worlds Apart,30,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,2014-08-04,2014-09-11,11.263406,-85.8639766
30,Survivor: Cambodia,31,"Koh Rong, Cambodia",Cambodia,2015-05-31,2015-07-08,10.7290832,103.2317225
31,Survivor: Kaoh Rong,32,"Koh Rong, Cambodia",Cambodia,2015-03-30,2015-05-07,10.7290832,103.2317225
32,Survivor: Millennials vs. Gen X,33,"Mamanuca Islands, Fiji",Fiji,2016-04-04,2016-05-12,-17.6127019972306,177.1222314193519
33,Survivor: Game Changers,34,"Mamanuca Islands, Fiji",Fiji,2016-06-06,2016-07-14,-17.6127019972306,177.1222314193519
34,Survivor: Heroes vs. Healers vs. Hustlers,35,"Mamanuca Islands, Fiji",Fiji,2017-04-03,2017-05-11,-17.6127019972306,177.1222314193519
35,Survivor: Ghost Island,36,"Mamanuca Islands, Fiji",Fiji,2017-06-05,2017-07-13,-17.6127019972306,177.1222314193519
36,Survivor: David vs. Goliath,37,"Mamanuca Islands, Fiji",Fiji,2018-03-29,2018-05-06,-17.6127019972306,177.1222314193519
37,Survivor: Edge of Extinction,38,"Mamanuca Islands, Fiji",Fiji,2018-05-30,2018-07-07,-17.6127019972306,177.1222314193519
38,Survivor: Island of the Idols,39,"Mamanuca Islands, Fiji",Fiji,2019-03-21,2019-04-28,-17.6127019972306,177.1222314193519
39,Survivor: Winners at War,40,"Mamanuca Islands, Fiji",Fiji,2019-05-22,2019-06-29,-17.6127019972306,177.1222314193519
40,Survivor: 41,41,"Mamanuca Islands, Fiji",Fiji,2021-04-15,2021-05-10,-17.6127019972306,177.1222314193519
41,Survivor: 42,42,"Mamanuca Islands, Fiji",Fiji,2021-05-16,2021-06-10,-17.6127019972306,177.1222314193519
42,Survivor: 43,43,"Mamanuca Islands, Fiji",Fiji,2022-05-02,2022-05-27,-17.6127019972306,177.1222314193519
43,Survivor: 44,44,"Mamanuca Islands, Fiji",Fiji,2022-06-05,2022-06-30,-17.6127019972306,177.1222314193519
44,Survivor: 45,45,"Mamanuca Islands, Fiji",Fiji,2023-04-16,2023-05-11,-17.6127019972306,177.1222314193519
45,Survivor: 46,46,"Mamanuca Islands, Fiji",Fiji,2023-06-01,2023-06-26,-17.6127019972306,177.1222314193519
